,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
5,MA Atherton (ENG),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4,
6,Mashrafe Mortaza (Asia/BDESH),2001-2019,217,156,27,1786,51*,13.84,2037,87.67,0,1,15,
7,MS Wade (AUS),2012-2017,94,80,11,1777,100*,25.75,2164,82.11,1,10,5,
8,MM Ali (ENG),2014-2019,101,82,13,1766,128,25.59,1697,104.06,3,5,5,
9,IA Healy (AUS),1988-1997,168,120,36,1764,56,21,2104,83.84,0,4,9,
10,KD Karthik (INDIA),2004-2019,94,79,21,1752,79,30.2,2392,73.24,0,9,6,
11,Sir RJ Hadlee (NZ),1973-1990,115,98,17,1751,79,21.61,2319,75.5,0,4,4,
12,Soumya Sarkar (BDESH),2014-2019,55,54,3,1728,127*,33.88,1753,98.57,2,11,5,
13,Imam-ul-Haq (PAK),2017-2019,37,37,5,1723,151,53.84,2141,80.47,7,6,2,
14,Imran Farhat (PAK),2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3,
15,CB Wishart (ZIM),1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8,
16,Rashid Latif (PAK),1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8,
17,DA Gunawardene (SL),1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5,
18,AT Rayudu (INDIA),2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,
19,ND McKenzie (SA),2000-2009,64,55,10,1688,131*,37.51,2432,69.4,2,10,2,
20,NC Johnson (ZIM),1998-2000,48,48,2,1679,132*,36.5,2389,70.28,4,11,2,
21,BA Young (NZ),1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5,
22,UDU Chandana (SL),1994-2007,147,111,17,1627,89,17.3,2229,72.99,0,5,8,
23,CK Kapugedera (SL),2006-2017,102,84,7,1624,95,21.09,2254,72.04,0,8,7,
24,Haris Sohail (PAK),2013-2019,41,40,5,1614,130,46.11,1895,85.17,2,13,1,
25,GM Turner (NZ),1973-1983,41,40,6,1598,171*,47,2348,68.05,3,9,1,
26,LPC Silva (SL),1999-2011,75,62,7,1587,107*,28.85,2254,70.4,1,13,6,
27,Najibullah Zadran (AFG),2012-2019,67,62,9,1586,104*,29.92,1765,89.85,1,11,3,
28,SC Williams (WI),1994-1999,57,55,6,1586,105*,32.36,2402,66.02,1,12,6,
29,Saleem Elahi (PAK),1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3,
30,RL Dias (SL),1979-1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3,
31,N Dickwella (SL),2014-2019,52,49,1,1571,116,32.72,1679,93.56,2,9,1,
32,DR Smith (WI),2004-2015,105,89,5,1560,97,18.57,1683,92.69,0,8,14,
33,UT Khawaja (AUS),2013-2019,40,39,2,1554,104,42,1848,84.09,2,12,2,
34,IK Pathan (INDIA),2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7,
35,RN ten Doeschate (NL),2006-2011,33,32,9,1541,119,67,1757,87.7,5,9,1,
36,DL Houghton (ZIM),1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5,
37,LRD Mendis (SL),1975-1989,79,74,9,1527,80,23.49,2034,75.07,0,7,4,
38,Azhar Mahmood (PAK),1996-2007,143,110,26,1521,67,18.1,1988,76.5,0,3,9,
39,RS Morton (WI),2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7,
40,JJ Crowe (NZ),1983-1990,75,71,12,1518,88*,25.72,2456,61.8,0,7,6,
41,JM Kemp (Afr/SA),2001-2007,85,66,18,1512,100*,31.5,1819,83.12,1,10,6,
42,RD Shah (KENYA),1998-2007,56,55,1,1506,113,27.88,2298,65.53,1,12,5,
43,MA Ouma (KENYA),2004-2014,80,77,5,1501,61,20.84,2525,59.44,0,7,6,
44,HJH Marshall (NZ),2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3,
45,DD Ebrahim (ZIM),2001-2005,82,76,6,1443,121,20.61,2540,56.81,1,4,8,
46,MR Marsh (AUS),2011-2018,53,49,9,1428,102*,35.7,1534,93.08,1,11,4,
47,Nasir Jamshed (PAK),2008-2015,48,48,3,1418,112,31.51,1881,75.38,3,8,5,
48,SO Hetmyer (WI),2017-2019,43,40,3,1416,139,38.27,1323,107.02,5,4,2,
49,HA Gomes (WI),1978-1987,83,64,15,1415,101,28.87,2578,54.88,1,6,5,
0,N Boje (Afr/SA),1995-2005,115,71,18,1414,129,26.67,1594,88.7,2,4,2,
1,MO Odumbe (KENYA),1996-2003,61,59,5,1409,83,26.09,2014,69.96,0,11,6,
2,P Utseya (ZIM),2004-2015,164,132,48,1406,68*,16.73,2410,58.34,0,4,16,
3,E Lewis (WI),2016-2019,48,45,2,1402,176*,32.6,1704,82.27,2,7,2,
4,L Ronchi (AUS/NZ),2008-2017,85,68,9,1397,170*,23.67,1220,114.5,1,4,7,
5,GP Howarth (NZ),1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1,
6,JD Ryder (NZ),2008-2014,48,42,1,1362,107,33.21,1429,95.31,3,6,5,
7,BC Broad (ENG),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2,
8,DO Obuya (KENYA),2001-2012,74,73,3,1355,93,19.35,2135,63.46,0,6,10,
9,KM Jadhav (INDIA),2014-2019,71,50,18,1354,120,42.31,1325,102.18,2,6,2,
10,Asad Shafiq (PAK),2010-2017,60,58,4,1336,84,24.74,1979,67.5,0,9,5,
11,PG Fulton (NZ),2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2,
12,Sabbir Rahman (BDESH),2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,
13,KMDN Kulasekara (SL),2003-2017,184,123,37,1327,73,15.43,1629,81.46,0,4,13,
14,JR Hopes (AUS),2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1,
15,SM Katich (AUS),2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3,
16,Javed Omar (BDESH),1995-2007,59,59,4,1312,85*,23.85,2528,51.89,0,10,2,
17,Raqibul Hasan (BDESH),2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6,
18,AA Obanda (KENYA),2007-2014,49,45,2,1306,96*,30.37,1764,74.03,0,9,2,
19,MS Sinclair (NZ),2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8,
20,PN Kirsten (SA),1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0,
21,J Charles (WI),2012-2016,48,48,0,1283,130,26.72,1531,83.8,2,4,7,
22,MJ Prior (ENG),2004-2011,68,62,9,1282,87,24.18,1670,76.76,0,3,5,
23,Nasir Hossain (BDESH),2011-2018,65,52,8,1281,100,29.11,1605,79.81,1,6,4,
24,TM Head (AUS),2016-2018,42,39,2,1273,128,34.4,1414,90.02,1,10,1,
